Admit ID,RFP % Present,RFP Last Status,RFP Last Internal Rating,RFP Last TRACK Score,RFP Tech Ability,RFP Learnability,Last Graduation,RFP Communicability,RFP Avg TRACK Score,TechCategory,Year,Practice Head
CIC022022-11011,95.0,Need Less Help,Meets expectations,3.97,1.6,1.59,B.E. / B.TECH Non IT,0.77,3.96,AdvTech_1_2,2018.0,Sunil
CIC022022-11034,100.0,Need No Help,Meets expectations,4.35,1.64,1.73,B.E. / B.TECH Non IT,0.97,4.35,AdvTech_1_2,2020.0,Nagendra
CIC022022-11035,86.0,Need Less Help,Meets expectations,3.68,1.33,1.41,M.E. / M.Tech Non IT,0.72,3.45,FullStack_DeepTech,2021.0,Gunjan
CIC022022-11037,65.0,Need Less Help,Meets expectations,4.12,1.38,1.47,B.E. / B.TECH Non IT,0.76,3.6,AdvTech_1_2,2019.0,Ashish
CIC022022-11039,98.0,Need Less Help,Improvement needed,3.8,1.56,1.53,B.E. / B.TECH Non IT,0.7,3.79,FullStack_DeepTech,2016.0,Nagendra
CIC022022-11040,96.0,Need Less Help,Meets expectations,3.9,1.47,1.53,B.E. / B.TECH Non IT,0.9,3.9,AdvTech_1_2,2021.0,Nagendra
CIC022022-11041,96.0,Need Less Help,Meets expectations,4.46,1.62,1.79,B.E. / B.TECH Non IT,0.99,4.4,AdvTech_1_2,2020.0,Nagendra
CIC022022-11043,96.0,Need No Help,Meets expectations,4.31,1.69,1.67,B.E. / B.TECH CS,0.96,4.31,AdvTech_1_2,2020.0,Nagendra
CIC022022-11052,98.0,Need More Help,Improvement needed,3.52,1.14,1.46,MSc CS/IT,0.93,3.53,AdvTech_1_2,2020.0,Sunil
CIC022022-11060,97.0,Need Less Help,Meets expectations,3.92,1.26,1.42,B.E. / B.TECH Non IT,0.89,3.56,AdvTech_1_2,2018.0,Nagendra
CIC022022-11069,86.0,Need More Help,Improvement needed,3.66,1.48,1.35,B.E. / B.TECH Non IT,0.7,3.53,FullStack_DeepTech,2019.0,Nagendra
CIC022022-11071,61.0,Need Less Help,Meets expectations,3.34,1.5,1.49,B.E. / B.TECH Non IT,0.82,3.8,AdvTech_1_2,2017.0,Gunjan
CIC022022-11072,84.0,Need More Help,Improvement needed,3.56,1.31,1.32,B.E. / B.TECH Non IT,0.78,3.42,FullStack_DeepTech,2021.0,Gunjan
CIC022022-11073,98.0,Need Less Help,Meets expectations,3.79,1.33,1.46,B.E. Mechanical Engineering,0.82,3.61,AdvTech_1_2,2021.0,Sunil
CIC022022-11075,97.0,Need More Help,Improvement needed,3.5,1.25,1.41,PG Non IT,0.84,3.5,AdvTech_1_2,2020.0,Sunil
CIC022022-11076,75.0,Need Less Help,Improvement needed,3.22,1.35,1.4,B.E. / B.TECH Non IT,0.84,3.59,AdvTech_1_2,2021.0,Nagendra
CIC022022-11077,91.0,Need More Help,Improvement needed,3.7,1.24,1.49,B.E. / B.TECH Non IT,0.72,3.45,FullStack_DeepTech,2018.0,Ashish
CIC022022-11078,33.0,Need More Help,Improvement needed,3.28,1.3,1.49,B.E. / B.TECH Non IT,0.65,3.43,FullStack_DeepTech,2017.0,Ashish
CIC022022-11082,77.0,Need More Help,Improvement needed,3.57,1.27,1.5,MSc CS/IT,0.81,3.57,FullStack_DeepTech,2020.0,Ashish
CIC022022-11083,76.0,Need Less Help,Improvement needed,3.72,1.67,1.25,B.E. / B.TECH Non IT,0.75,3.67,FullStack_DeepTech,2019.0,Nagendra
CIC022022-11085,61.0,Need More Help,Meets expectations,4.21,1.51,1.67,B.E. / B.TECH CS,0.94,4.11,FullStack_DeepTech,2021.0,Nagendra
CIC022022-11093,81.0,Need More Help,Improvement needed,3.54,1.3,1.34,BCA CS,0.71,3.34,StdTech,2019.0,Gunjan
CIC022022-11097,70.0,Need Less Help,Improvement needed,3.92,1.54,1.57,B.E. / B.TECH CS,0.81,3.91,AdvTech_1_2,2021.0,Nagendra
CIC022022-11100,76.0,Need More Help,Improvement needed,3.02,1.32,1.35,BSc Non IT,0.84,3.51,FullStack_DeepTech,2016.0,Gunjan
CIC022022-11106,80.0,Need Less Help,Meets expectations,4.22,1.57,1.6,BSc IT,0.78,3.96,AdvTech_1_2,2019.0,Sunil
CIC022022-11129,79.0,Need Less Help,Improvement needed,3.8,1.38,1.48,B.E. / B.TECH CS,0.81,3.68,AdvTech_1_2,2018.0,Gunjan
CIC022022-11134,85.0,Need Less Help,Meets expectations,4.21,1.43,1.61,B.E. / B.TECH,0.84,3.76,FullStack_DeepTech,2020.0,Gunjan
CIC022022-11135,100.0,Need More Help,Improvement needed,3.05,1.03,1.31,B.E. / B.TECH Non IT,0.71,3.05,StdTech,2020.0,Gunjan
CIC022022-11136,87.0,Need Less Help,Meets expectations,4.22,1.52,1.62,B.E. / B.TECH Non IT,0.86,4.0,FullStack_DeepTech,2020.0,Gunjan
CIC022022-11156,85.0,Need Less Help,Improvement needed,3.73,1.37,1.52,B.E. / B.TECH Non IT,0.84,3.73,FullStack_DeepTech,2021.0,Ashish
CIC022022-11157,82.0,Need More Help,Improvement needed,2.94,1.2,1.41,B.E. / B.TECH CS,0.65,3.26,BasicTech,2021.0,Ashish
CIC022022-11159,91.0,Need More Help,Improvement needed,2.51,1.35,1.37,Computer Science,0.78,3.5,AdvTech_1_2,2017.0,Sunil
CIC022022-11170,100.0,Need Less Help,Meets expectations,3.85,1.66,1.45,B.E. / B.TECH Non IT,0.75,3.85,FullStack_DeepTech,2021.0,Gunjan
CIC022022-11173,80.0,Need More Help,Improvement needed,3.29,1.46,1.39,B.E. / B.TECH CS,0.73,3.58,AdvTech_1_2,2019.0,Ashish
CIC022022-11177,80.0,Need Less Help,Meets expectations,3.34,1.51,1.67,B.E. / B.TECH IT,0.93,4.11,FullStack_DeepTech,2021.0,Sunil
CIC022022-11179,82.0,Need Less Help,Meets expectations,4.22,1.65,1.66,B.E. / B.TECH Non IT,0.81,4.11,FullStack_DeepTech,2019.0,Sunil
CIC022022-11180,97.0,Need Less Help,Improvement needed,3.72,1.26,1.48,B.E. / B.TECH Non IT,0.8,3.53,FullStack_DeepTech,2020.0,Nagendra
CIC022022-11183,88.0,Need More Help,Improvement needed,2.22,0.82,0.9,B.E. / B.TECH IT,0.64,2.35,BasicTech,2021.0,Nagendra
CIC022022-11187,89.0,Need Less Help,Meets expectations,3.98,1.53,1.56,PG CS/IT,0.76,3.85,FullStack_DeepTech,2019.0,Sunil
CIC022022-11207,95.0,Need Less Help,Improvement needed,3.8,1.47,1.52,BSc CS,0.78,3.77,FullStack_DeepTech,2019.0,Sunil
CIC022022-11209,100.0,Need Less Help,Improvement needed,3.54,1.3,1.47,B.E. / B.TECH CS,0.81,3.58,AdvTech_1_2,2020.0,Nagendra
CIC022022-11211,87.0,Need Less Help,Meets expectations,3.64,1.43,1.42,B.E. / B.TECH Non IT,0.8,3.65,AdvTech_1_2,2019.0,Ashish
CIC022022-11220,55.0,Need Less Help,Improvement needed,3.34,1.47,1.66,B.E. / B.TECH CS,0.89,4.02,AdvTech_1_2,2018.0,Sunil
CIC022022-11234,78.0,Need Less Help,Improvement needed,4.07,1.45,1.42,B.E. / B.TECH IT,0.63,3.5,FullStack_DeepTech,2020.0,Gunjan
CIC022022-11240,63.0,Need More Help,Meets expectations,4.21,1.56,1.74,B.E. / B.TECH CS,0.82,4.11,FullStack_DeepTech,2021.0,Nagendra
CIC022022-11260,100.0,Need Less Help,Improvement needed,4.04,1.46,1.57,B.E. / B.TECH Non IT,0.85,3.88,FullStack_DeepTech,2020.0,Gunjan
CIC022022-11261,98.0,Need Less Help,Improvement needed,3.92,1.4,1.57,B.E. / B.TECH Non IT,0.83,3.81,FullStack_DeepTech,2021.0,Gunjan
CIC022022-11267,100.0,Need Less Help,Improvement needed,4.04,1.4,1.63,B.E. / B.TECH Non IT,0.83,3.86,FullStack_DeepTech,2021.0,Gunjan
CIC022022-11268,93.0,Need Less Help,Meets expectations,3.86,1.52,1.54,B.E. / B.TECH Non IT,0.76,3.82,FullStack_DeepTech,2019.0,Nagendra
CIC022022-11269,89.0,Need Less Help,Meets expectations,3.8,1.38,1.39,B.E. / B.TECH Non IT,0.76,3.53,FullStack_DeepTech,2020.0,Ashish
CIC022022-11273,81.0,Need Less Help,Meets expectations,3.98,1.33,1.52,B.E. / B.TECH Non IT,0.83,3.68,AdvTech_1_2,2020.0,Nagendra
CIC022022-11277,100.0,Need Less Help,Meets expectations,3.74,1.43,1.46,B.E. / B.TECH IT,0.88,3.77,FullStack_DeepTech,2018.0,Ashish
CIC022022-11283,56.0,Need More Help,Improvement needed,3.34,1.36,1.41,B.E. / B.TECH CS,0.75,3.51,AdvTech_1_2,2019.0,Gunjan
CIC022022-11284,74.0,Need Less Help,Meets expectations,4.52,1.66,1.79,B.E. / B.TECH CS,0.91,4.36,FullStack_DeepTech,2020.0,Nagendra
CIC022022-11286,98.0,Need More Help,Improvement needed,3.74,1.39,1.53,B.E. / B.TECH,0.74,3.67,AdvTech_1_2,2021.0,Sunil
CIC022022-11292,89.0,Need Less Help,Meets expectations,4.1,1.48,1.46,B.E. / B.TECH Non IT,0.93,3.87,AdvTech_1_2,2018.0,Ashish
CIC022022-11300,98.0,Need More Help,Improvement needed,3.76,1.49,1.54,B.E. / B.TECH CS,0.61,3.64,AdvTech_1_2,2018.0,Nagendra
CIC022022-11304,87.0,Need Less Help,Meets expectations,3.5,1.4,1.4,B.E. / B.TECH Non IT,0.7,3.5,FullStack_DeepTech,2021.0,Ashish
CIC022022-11312,97.0,Need Less Help,Improvement needed,3.36,1.35,1.38,B.E. / B.TECH Non IT,0.74,3.47,AdvTech_1_2,2020.0,Ashish
CIC022022-11313,70.0,Need More Help,Improvement needed,3.35,1.13,1.37,B.E. / B.TECH Non IT,0.68,3.19,AdvTech_1_2,2020.0,Ashish
CIC022022-11318,51.0,Need More Help,Improvement needed,3.34,1.35,1.44,B.E. / B.TECH IT,0.8,3.59,StdTech,2022.0,Ashish
CIC022022-11323,100.0,Need More Help,Improvement needed,3.74,1.31,1.41,MCA,0.75,3.47,FullStack_DeepTech,2022.0,Ashish
CIC022022-11324,98.0,Need Less Help,Meets expectations,3.92,1.25,1.51,M.E. / M.Tech CS/IT,0.83,3.59,FullStack_DeepTech,2021.0,Ashish
CIC022022-11326,90.0,Need Less Help,Improvement needed,3.43,1.41,1.45,B.E. / B.TECH CS,0.75,3.61,FullStack_DeepTech,2021.0,Ashish
CIC022022-11327,98.0,Need More Help,Improvement needed,3.61,1.37,1.41,MCA,0.74,3.51,FullStack_DeepTech,2022.0,Ashish
CIC022022-11328,91.0,Need Less Help,Improvement needed,3.67,1.49,1.59,B.E. / B.TECH Non IT,0.84,3.91,AdvTech_1_2,2015.0,Gunjan
CIC022022-11329,63.0,Need More Help,Improvement needed,3.48,1.2,1.51,MCA,0.67,3.38,AdvTech_1_2,2022.0,Ashish
CIC022022-11330,85.0,Need More Help,Improvement needed,3.33,1.31,1.33,BCA CS,0.7,3.34,BasicTech,2020.0,Ashish
CIC032021-8277,66.0,Need More Help,Improvement needed,3.26,1.21,1.42,B.E. / B.TECH IT,0.67,3.31,StdTech,2020.0,Ashish
CIC032021-8278,94.0,Need Less Help,Improvement needed,3.49,1.49,1.51,B.E. / B.TECH CS,0.76,3.76,FullStack_DeepTech,2020.0,Gunjan
CIC032021-8285,100.0,Need More Help,Improvement needed,2.8,1.08,1.18,BSc IT,0.68,2.95,FullStack_DeepTech,2018.0,Gunjan
CIC032021-8286,64.0,Need Less Help,Improvement needed,3.7,1.25,1.72,MCA IT,0.85,3.82,AdvTech_1_2,2020.0,Sunil
CIC032021-8288,79.0,Need Less Help,Meets expectations,3.73,1.46,1.58,MCA IT,0.92,3.95,FullStack_DeepTech,2021.0,Sunil
CIC032021-8290,66.0,Need More Help,Improvement needed,3.24,1.07,1.49,B.E. / B.TECH Non IT,0.8,3.36,StdTech,2019.0,Sunil
CIC032021-8291,64.0,Need More Help,Improvement needed,3.74,1.29,1.52,B.E. / B.TECH Non IT,0.81,3.62,StdTech,2020.0,Gunjan
CIC032021-8293,71.0,Need Less Help,Exceeds expectations,3.74,1.37,1.59,B.E. / B.TECH Non IT,0.88,3.85,StdTech,2020.0,Gunjan
CIC032021-8294,98.0,Need Less Help,Improvement needed,3.85,1.46,1.54,B.E. / B.TECH Non IT,0.68,3.68,FullStack_DeepTech,2020.0,Gunjan
CIC032021-8295,77.0,Need More Help,Improvement needed,2.5,0.94,1.14,B.E. / B.TECH Non IT,0.67,2.75,BasicTech,2020.0,Sunil
CIC032021-8296,75.0,Need Less Help,Improvement needed,3.56,1.25,1.56,B.E. / B.TECH CS,0.85,3.65,FullStack_DeepTech,2020.0,Ashish
CIC032021-8299,91.0,Need Less Help,Improvement needed,3.92,1.32,1.42,MCA,0.79,3.53,AdvTech_1_2,2020.0,Sunil
CIC032021-8302,82.0,Need More Help,Improvement needed,3.43,1.13,1.32,B.E. / B.TECH Non IT,0.69,3.15,BasicTech,2020.0,Sunil
CIC032021-8308,100.0,Need Less Help,Meets expectations,4.4,1.58,1.66,B.E. / B.TECH Non IT,0.85,4.08,FullStack_DeepTech,2019.0,Sunil
CIC032021-8309,71.0,Need More Help,Improvement needed,3.34,1.36,1.53,B.E. / B.TECH Non IT,0.73,3.62,StdTech,2019.0,Dilip
CIC032021-8310,69.0,Need Less Help,Meets expectations,3.34,1.48,1.57,B.E. / B.TECH Non IT,0.77,3.83,StdTech,2019.0,Dilip
CIC032021-8312,66.0,Need Less Help,Meets expectations,3.76,1.43,1.56,B.E. / B.TECH Non IT,0.83,3.81,FullStack_DeepTech,2016.0,Gunjan
CIC032021-8315,100.0,Need No Help,Meets expectations,4.28,1.54,1.65,B.E. / B.TECH Non IT,0.84,4.03,FullStack_DeepTech,2015.0,Sunil
CIC032021-8317,77.0,Need More Help,Improvement needed,3.58,1.16,1.58,B.E. / B.TECH IT,0.83,3.57,StdTech,2020.0,Sunil
CIC032021-8320,57.0,Need Less Help,Meets expectations,3.34,1.5,1.58,B.E. / B.TECH Non IT,0.76,3.83,AdvTech_1_2,2020.0,Dilip
CIC032021-8322,77.0,Need Less Help,Meets expectations,4.2,1.35,1.7,B.E. / B.TECH CS,0.85,3.9,FullStack_DeepTech,2020.0,Sunil
CIC032021-8325,53.0,Need Less Help,Improvement needed,3.76,1.45,1.46,B.E. / B.TECH Non IT,0.85,3.76,FullStack_DeepTech,2020.0,Dilip
CIC032021-8327,72.0,Need Less Help,Improvement needed,3.87,1.18,1.68,B.E. / B.TECH IT,0.86,3.72,FullStack_DeepTech,2020.0,Sunil
CIC032021-8331,66.0,Need Less Help,Meets expectations,3.34,1.37,1.61,B.E. / B.TECH CS,0.87,3.85,FullStack_DeepTech,2019.0,Dilip
CIC032021-8332,66.0,Need More Help,Unsatisfactory,2.41,1.07,1.21,B.E. / B.TECH IT,0.71,2.98,StdTech,2016.0,Gunjan
CIC032021-8335,75.0,Need Less Help,Meets expectations,3.74,1.47,1.63,B.E. / B.TECH Non IT,0.81,3.9,FullStack_DeepTech,2019.0,Gunjan
CIC032021-8338,73.0,Need No Help,Meets expectations,3.34,1.6,1.7,B.E. / B.TECH Non IT,0.88,4.18,AdvTech_1_2,2017.0,Dilip
CIC032021-8339,100.0,Need Less Help,Meets expectations,3.72,1.4,1.51,B.E. / B.TECH Non IT,0.77,3.67,BasicTech,2016.0,Sunil
CIC032021-8341,70.0,Need Less Help,Improvement needed,3.56,1.35,1.58,B.E. / B.TECH CS,0.8,3.73,StdTech,2020.0,Gunjan
CIC032021-8343,63.0,Need Less Help,Meets expectations,3.34,1.48,1.52,B.E. / B.TECH CS,0.77,3.76,FullStack_DeepTech,2020.0,Ashish
CIC032021-8345,75.0,Need Less Help,Meets expectations,3.92,1.46,1.64,B.E. / B.TECH CS,0.84,3.93,FullStack_DeepTech,2020.0,Gunjan
CIC032021-8347,75.0,Need Less Help,Meets expectations,3.79,1.57,1.48,B.E. / B.TECH Non IT,0.78,3.82,StdTech,2020.0,Gunjan
CIC032021-8349,67.0,Need Less Help,Improvement needed,4.0,1.44,1.44,B.E. / B.TECH IT,0.72,3.61,AdvTech_1_2,2019.0,Gunjan
CIC032021-8352,100.0,Need More Help,Improvement needed,3.4,0.86,1.4,B.E. / B.TECH Non IT,0.86,2.75,AdvTech_1_2,2019.0,Sunil
CIC032021-8355,96.0,Need Less Help,Meets expectations,3.74,1.47,1.56,M.E. / M.Tech CS/IT,0.75,3.78,FullStack_DeepTech,2019.0,Ashish
CIC032021-8359,95.0,Need Less Help,Improvement needed,3.71,1.43,1.52,B.E. / B.TECH Non IT,0.72,3.67,StdTech,2018.0,Gunjan
CIC032021-8361,98.0,Need More Help,Improvement needed,3.63,1.13,1.58,BCA CS,0.85,3.57,AdvTech_1_2,2020.0,Sunil
CIC032021-8363,84.0,Need Less Help,Meets expectations,3.8,1.5,1.58,B.E. / B.TECH CS,0.91,3.99,FullStack_DeepTech,2021.0,Ashish
CIC032021-8364,96.0,Need Less Help,Meets expectations,3.42,1.38,1.48,B.E. / B.TECH CS,0.69,3.55,StdTech,2018.0,Ashish
CIC032021-8365,96.0,Need Less Help,Meets expectations,4.03,1.49,1.63,B.E. / B.TECH Non IT,0.81,3.93,FullStack_DeepTech,2019.0,Dilip
CIC032021-8366,66.0,Need Less Help,Meets expectations,3.88,1.54,1.64,B.E. / B.TECH CS,0.84,4.02,FullStack_DeepTech,2021.0,Gunjan
CIC032021-8367,100.0,Need Less Help,Meets expectations,4.1,1.56,1.65,MCA,0.82,4.02,FullStack_DeepTech,2019.0,Dilip
CIC032021-8371,87.0,Need More Help,Improvement needed,3.42,1.28,1.33,B.E. / B.TECH Non IT,0.76,3.37,BasicTech,2019.0,Ashish
CIC032021-8374,59.0,Need Less Help,Improvement needed,3.49,1.35,1.35,B.E. / B.TECH Non IT,0.7,3.4,BasicTech,2019.0,Dilip
CIC032021-8376,84.0,Need Less Help,Improvement needed,3.34,1.4,1.55,B.E. / B.TECH Non IT,0.76,3.71,FullStack_DeepTech,2019.0,Dilip
CIC032021-8378,95.0,Need No Help,Meets expectations,4.03,1.46,1.73,BSc CS,0.94,4.13,FullStack_DeepTech,2016.0,Ashish
CIC032021-8383,91.0,Need Less Help,Improvement needed,3.61,1.42,1.41,MCA,0.76,3.59,AdvTech_1_2,2019.0,Gunjan
CIC032021-8384,100.0,Need More Help,Improvement needed,3.27,1.29,1.35,B.E. / B.TECH Non IT,0.71,3.35,BasicTech,2020.0,Ashish
CIC032021-8386,76.0,Need No Help,Meets expectations,3.34,1.54,1.64,B.E. / B.TECH CS,0.85,4.02,FullStack_DeepTech,2020.0,Ashish
CIC032021-8387,88.0,Need Less Help,Improvement needed,3.34,1.4,1.45,MCA,0.78,3.64,AdvTech_1_2,2020.0,Dilip
CIC032021-8390,82.0,Need Less Help,Improvement needed,3.66,1.27,1.54,MCA,0.89,3.7,FullStack_DeepTech,2020.0,Dilip
CIC032021-8393,77.0,Need Less Help,Meets expectations,4.01,1.41,1.77,B.E. / B.TECH IT,0.95,4.13,FullStack_DeepTech,2019.0,Sunil
CIC032021-8402,77.0,Need Less Help,Improvement needed,3.34,1.28,1.55,B.E. / B.TECH Non IT,0.8,3.63,FullStack_DeepTech,2020.0,Ashish
CIC032021-8417,93.0,Need Less Help,Meets expectations,4.0,1.25,1.69,B.E. / B.TECH Non IT,0.9,3.72,FullStack_DeepTech,2020.0,Sunil
CIC032021-8418,95.0,Need More Help,Improvement needed,3.35,0.88,1.15,B.E. / B.TECH Non IT,0.72,2.65,BasicTech,2018.0,Sunil
CIC032021-8495,58.0,Need Less Help,Improvement needed,3.69,1.52,1.53,B.E. / B.TECH CS,0.79,3.83,FullStack_DeepTech,2020.0,Dilip
CIC032021-8497,90.0,Need Less Help,Improvement needed,3.52,1.25,1.43,B.E. / B.TECH IT,0.78,3.46,AdvTech_1_2,2018.0,Gunjan
CIC032021-8593,100.0,Need Less Help,Improvement needed,3.34,1.4,1.38,B.E. / B.TECH IT,0.79,3.57,FullStack_DeepTech,2018.0,Dilip
CIC032022-11333,99.0,Need No Help,Meets expectations,4.27,1.5,1.8,B.E. / B.TECH CS,0.94,4.24,AdvTech_1_2,2016.0,Sunil
CIC032022-11334,96.0,Need No Help,Meets expectations,4.33,1.58,1.82,B.E. / B.TECH Non IT,0.96,4.37,FullStack_DeepTech,2018.0,Sunil
CIC032022-11335,91.0,Need Less Help,Meets expectations,3.91,1.33,1.53,B.E. / B.TECH Non IT,0.87,3.73,FullStack_DeepTech,2021.0,Nagendra
CIC032022-11338,76.0,Need More Help,Improvement needed,3.41,1.35,1.46,B.E. / B.TECH,0.73,3.53,BasicTech,2015.0,Sunil
CIC032022-11353,83.0,Need Less Help,Meets expectations,3.87,1.69,1.59,B.Tech Chemical engineering,0.59,3.87,FullStack_DeepTech,2016.0,Sunil
CIC032022-11355,85.0,Need More Help,Improvement needed,3.26,1.34,1.38,B.E. / B.TECH CS,0.67,3.39,BasicTech,2020.0,Ashish
CIC032022-11361,97.0,Need Less Help,Improvement needed,4.03,1.57,1.62,B.E. / B.TECH Non IT,0.73,3.92,FullStack_DeepTech,2021.0,Nagendra
CIC032022-11362,53.0,Need More Help,Improvement needed,3.35,1.11,1.31,BSc CS,0.7,3.12,AdvTech_1_2,2022.0,Nagendra
CIC032022-11365,87.0,Need Less Help,Meets expectations,3.98,1.44,1.39,B.E. / B.TECH Non IT,0.89,3.72,FullStack_DeepTech,2016.0,Ashish
CIC032022-11394,99.0,Need No Help,Meets expectations,4.02,1.3,1.59,B.E. / B.TECH IT,0.88,3.77,AdvTech_1_2,2013.0,Sunil
CIC032022-11403,100.0,Need Less Help,Improvement needed,3.98,1.63,1.52,B.E. / B.TECH Non IT,0.74,3.89,FullStack_DeepTech,2018.0,Nagendra
CIC032022-11406,99.0,Need Less Help,Meets expectations,3.92,1.43,1.57,B.E. / B.TECH Non IT,0.88,3.88,FullStack_DeepTech,2020.0,Nagendra
CIC032022-11412,86.0,Need Less Help,Meets expectations,3.98,1.37,1.45,B.E. / B.TECH CS,0.86,3.68,FullStack_DeepTech,2019.0,Nagendra
CIC032022-11415,100.0,Need Less Help,Meets expectations,3.77,1.36,1.56,B.E. / B.TECH IT,0.82,3.74,FullStack_DeepTech,2019.0,Ashish
CIC032022-11427,98.0,Need Less Help,Improvement needed,3.73,1.32,1.5,B.E. / B.TECH Non IT,0.79,3.61,FullStack_DeepTech,2022.0,Ashish
CIC032022-11431,100.0,Need Less Help,Improvement needed,4.1,1.69,1.65,B.E. / B.TECH Non IT,0.73,4.07,FullStack_DeepTech,2018.0,Nagendra
CIC032022-11433,100.0,Need Less Help,Improvement needed,4.15,1.54,1.45,BCA IT,0.74,3.72,AdvTech_1_2,2013.0,Gunjan
CIC032022-11441,93.0,Need No Help,Meets expectations,4.45,1.62,1.62,B.E. / B.TECH CS,0.82,4.06,FullStack_DeepTech,2021.0,Gunjan
CIC032022-11444,92.0,Need Less Help,Meets expectations,3.87,1.34,1.64,MSc CS/IT,0.84,3.82,FullStack_DeepTech,2021.0,Sunil
CIC032022-11446,80.0,Need Less Help,Meets expectations,3.34,1.34,1.63,B.E. / B.TECH IT,0.91,3.88,FullStack_DeepTech,2021.0,Nagendra
CIC032022-11447,78.0,Need Less Help,Improvement needed,3.82,1.33,1.48,B.E. / B.TECH Non IT,0.75,3.55,FullStack_DeepTech,2022.0,Nagendra
CIC032022-11455,84.0,Need Less Help,Meets expectations,3.88,1.54,1.53,B.E. civil engineering,0.82,3.88,AdvTech_1_2,2020.0,Sunil
CIC032022-11456,97.0,Need Less Help,Improvement needed,3.97,1.5,1.64,B.E. / B.TECH CS,0.72,3.85,AdvTech_1_2,2019.0,Nagendra
CIC032022-11466,100.0,Need Less Help,Improvement needed,4.04,1.58,1.63,B.E. / B.TECH Non IT,0.7,3.91,FullStack_DeepTech,2021.0,Nagendra
CIC032022-11473,90.0,Need Less Help,Meets expectations,4.19,1.51,1.66,B.E. / B.TECH IT,0.89,4.07,FullStack_DeepTech,2019.0,Ashish
CIC032022-11486,97.0,Need More Help,Improvement needed,3.62,1.4,1.4,BCA,0.85,3.65,AdvTech_1_2,2015.0,Sunil
CIC032022-11495,89.0,Need Less Help,Improvement needed,3.69,1.37,1.52,B.E. / B.TECH Non IT,0.8,3.69,FullStack_DeepTech,2018.0,Sunil
CIC032022-11539,66.0,Need Less Help,Meets expectations,4.34,1.44,1.61,B.E. / B.TECH CS,0.91,3.96,AdvTech_1_2,2021.0,Nagendra
CIC032022-11541,95.0,Need More Help,Improvement needed,3.33,1.31,1.32,B.E. / B.TECH Non IT,0.83,3.46,FullStack_DeepTech,2020.0,Gunjan
CIC032022-11550,97.0,Need Less Help,Meets expectations,3.63,1.39,1.53,B.E. / B.TECH,0.75,3.66,FullStack_DeepTech,2020.0,Sunil
CIC032022-11561,74.0,Need Less Help,Improvement needed,3.41,1.29,1.41,MSc CS/IT,0.74,3.43,AdvTech_1_2,2016.0,Nagendra
CIC032022-11565,96.0,Need No Help,Meets expectations,3.8,1.48,1.47,B.E. / B.TECH Non IT,0.74,3.69,FullStack_DeepTech,2019.0,Nagendra
CIC032022-11572,90.0,Need Less Help,Improvement needed,3.89,1.54,1.56,B.E. / B.TECH,0.79,3.89,FullStack_DeepTech,2019.0,Ashish
CIC032022-11583,99.0,Need Less Help,Improvement needed,3.68,1.34,1.5,MCA,0.85,3.68,AdvTech_1_2,2018.0,Ashish
CIC032022-11630,72.0,Need More Help,Meets expectations,3.33,1.31,1.33,BSc CS,0.7,3.34,BasicTech,2022.0,Ashish
CIC032022-11634,74.0,Need More Help,Improvement needed,3.26,1.31,1.38,B.E. / B.TECH Non IT,0.72,3.41,BasicTech,2022.0,Ashish
CIC032022-11636,91.0,Need More Help,Improvement needed,2.7,0.93,1.16,BCA IT,0.56,2.65,BasicTech,2015.0,Ashish
CIC032022-11653,86.0,Need Less Help,Meets expectations,3.84,1.48,1.63,B.E. / B.TECH Non IT,0.78,3.89,FullStack_DeepTech,2021.0,Sunil
CIC032022-11657,94.0,Need Less Help,Meets expectations,3.64,1.48,1.48,B.E. / B.TECH IT,0.81,3.77,AdvTech_1_2,2017.0,Sunil
CIC042020-128,100.0,Need More Help,Improvement needed,3.53,1.39,1.54,B.E. / B.TECH Non IT,0.78,3.71,AdvTech_1_2,2017.0,Dilip
CIC042021-8395,95.0,Need More Help,Improvement needed,3.26,1.2,1.5,B.E. / B.TECH Non IT,0.79,3.49,FullStack_DeepTech,2018.0,Ashish
CIC042021-8396,96.0,Need More Help,Improvement needed,3.33,1.27,1.45,B.E. / B.TECH CS,0.79,3.51,StdTech,2021.0,Ashish
CIC042021-8398,96.0,Need More Help,Improvement needed,3.2,1.31,1.42,B.E. / B.TECH Non IT,0.69,3.42,StdTech,2021.0,Ashish
CIC042021-8399,98.0,Need More Help,Improvement needed,3.33,1.34,1.5,B.E. / B.TECH CS,0.71,3.55,StdTech,2017.0,Ashish
CIC042021-8400,39.0,Need Less Help,Meets expectations,3.34,1.38,1.69,B.E. / B.TECH CS,0.82,3.88,FullStack_DeepTech,2018.0,Ashish
CIC042021-8401,96.0,Need Less Help,Improvement needed,4.04,1.51,1.49,B.E. / B.TECH Non IT,0.81,3.81,FullStack_DeepTech,2021.0,Gunjan
CIC042021-8403,94.0,Need Less Help,Improvement needed,3.34,1.42,1.54,M.E. / M.Tech Non IT,0.78,3.75,FullStack_DeepTech,2020.0,Dilip
CIC042021-8404,100.0,Need Less Help,Meets expectations,4.0,1.18,1.53,B.E. / B.TECH CS,0.85,3.45,AdvTech_1_2,2020.0,Sunil
CIC042021-8408,51.0,Need No Help,Meets expectations,3.34,1.58,1.63,MCA,0.88,4.09,FullStack_DeepTech,2019.0,Sunil
